Date,Price
29-06-2022,33269.90
30-06-2022,33425.10
01-07-2022,33539.45
04-07-2022,33940.90
05-07-2022,33815.90
06-07-2022,34324.25
07-07-2022,34920.30
08-07-2022,35124.05
11-07-2022,35469.65
12-07-2022,35132.25
13-07-2022,34827.80
14-07-2022,34651.20
15-07-2022,34682.65
18-07-2022,35358.70
19-07-2022,35720.35
20-07-2022,35972.10
21-07-2022,36201.00
22-07-2022,36738.95
25-07-2022,36726.40
26-07-2022,36408.50
27-07-2022,36783.75
28-07-2022,37378.15
29-07-2022,37491.40
01-08-2022,37903.20
02-08-2022,38024.00
03-08-2022,37989.25
04-08-2022,37755.55
05-08-2022,37920.60
08-08-2022,38237.40
10-08-2022,38287.85
11-08-2022,38879.85
12-08-2022,39042.30
16-08-2022,39239.65
17-08-2022,39461.70
18-08-2022,39656.15
19-08-2022,38985.95
22-08-2022,38297.75
23-08-2022,38697.65
24-08-2022,39038.50
25-08-2022,38950.75
26-08-2022,38987.15
29-08-2022,38276.70
30-08-2022,39536.75
01-09-2022,39301.25
02-09-2022,39421.00
05-09-2022,39805.75
06-09-2022,39666.50
07-09-2022,39455.90
08-09-2022,40208.95
09-09-2022,40415.70
12-09-2022,40574.00
13-09-2022,40873.10
14-09-2022,41405.40
15-09-2022,41209.20
16-09-2022,40776.80
19-09-2022,40904.40
20-09-2022,41468.30
21-09-2022,41203.45
22-09-2022,40630.60
23-09-2022,39546.25
26-09-2022,38616.25
27-09-2022,38359.15
28-09-2022,37759.85
29-09-2022,37647.75
30-09-2022,38631.95
03-10-2022,38029.65
04-10-2022,39110.05
06-10-2022,39282.85
07-10-2022,39178.05
10-10-2022,39093.10
11-10-2022,38712.45
